SMILES,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-CAM,E2-CAM,f1-CAM,f2-CAM
[H]N1C(=O)OC([H])([H])C([H])([H])C1=O,0.20146441,0.24275855,0.00055369,0.01908735,0.19376568,0.2297995,0.00065432,0.00479777,0.19376568,0.2297995,0.00065432,0.00479777,0.19777017,0.23706255,0.0005,0.0064
[H]C1=C([H])C2([H])C([H])([H])OC2([H])C1=O,0.13199727,0.20476182,0.00119695,0.01112993,0.12514711,0.18635978,0.00110329,0.00516551,0.12514711,0.18635978,0.00110329,0.00516551,0.13380429,0.20879497,0.0008,0.0094
[H]c1nc(C([H])([H])C#N)n([H])n1,0.25776916,0.27825534,0.04930186,0.1333082,0.23393875,0.26279844,0.00620182,0.12820657,0.23393875,0.26279844,0.00620182,0.12820657,0.24268887,0.26112968,0.0058,0.1474
[H]C(=O)N([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.21529947,0.25639878,0.0008877,0.00541169,0.2118155,0.26760071,0.00126461,0.00201024,0.2118155,0.26760071,0.00126461,0.00201024,0.21035681,0.25534901,0.0011,0.0041
[H]OC12C([H])([H])C([H])(C([H])([H])[H])C1([H])C2([H])[H],0.26658563,0.27348822,0.00658072,0.03829247,0.28363941,0.2878367,0.00221447,0.05315557,0.28363941,0.2878367,0.00221447,0.05315557,0.265569,0.27231618,0.003,0.0328
[H]C(=O)C([H])([H])C1([H])N=C([H])OC1([H])[H],0.15931635,0.24605777,0.00019967,0.00846337,0.15350949,0.22062611,0.0002043,0.01568675,0.15350949,0.22062611,0.0002043,0.01568675,0.1541377,0.2382128,0.0001,0.0056
[H]C([H])([H])C12OC1(C([H])([H])[H])C1([H])C([H])([H])C12[H],0.26754877,0.29643987,0.01129577,0.00205937,0.2789608,0.28256652,0.03828905,0.01123929,0.2789608,0.28256652,0.03828905,0.01123929,0.28101107,0.28629194,0.013,0.0421
[H]C#CC(C#N)(OC([H])([H])[H])C([H])([H])[H],0.2593452,0.27002255,0.00047914,0.00202672,0.23275243,0.24540446,0.00048728,0.00109486,0.23275243,0.24540446,0.00048728,0.00109486,0.23240273,0.24672027,0.0005,0.0053
[H]N([H])C(=O)C1([H])OC([H])([H])C1=O,0.16689152,0.19853808,0.00375909,0.01519017,0.16110657,0.18556309,0.00496137,0.0172863,0.16110657,0.18556309,0.00496137,0.0172863,0.16247244,0.20229034,0.0016,0.0102
[H]C#CC([H])(C#CC([H])([H])[H])C([H])([H])C([H])([H])[H],0.26801415,0.27129034,0.00071857,0.00003601,0.2393061,0.24655529,0.00087017,0.00105233,0.2393061,0.24655529,0.00087017,0.00105233,0.23925281,0.24272562,0.0005,0
[H]c1nn([H])nc1N(C([H])([H])[H])C([H])([H])[H],0.18895417,0.22375469,0.07651795,0.05850717,0.19198569,0.23788795,0.06999484,0.00031374,0.19198569,0.23788795,0.06999484,0.00031374,0.19710868,0.22820964,0.0964,0.049
[H]OC12C([H])([H])N(C1([H])[H])C2([H])C([H])([H])[H],0.25157222,0.2678452,0.08602341,0.00266325,0.27581456,0.2876597,0.0431714,0.00096439,0.27581456,0.2876597,0.0431714,0.00096439,0.26423132,0.26782908,0.062,0.0021
[H]c1c(C([H])([H])C([H])([H])C([H])([H])[H])nn([H])c1[H],0.23755742,0.26800796,0.05030781,0.06846874,0.24815943,0.25500462,0.0651359,0.00551779,0.24815943,0.25500462,0.0651359,0.00551779,0.24489383,0.2560693,0.0845,0.0687
[H]c1nnc([H])c(C#N)n1,0.11044022,0.14332044,0.00375816,0.00027421,0.10122737,0.13712281,0.0034149,0.00037206,0.10122737,0.13712281,0.0034149,0.00037206,0.11319895,0.15114998,0.0038,0.0002
[H]C([H])([H])C(=O)n1nnnn1,0.17383111,0.20766857,0.00289386,0.0026703,0.16284149,0.19202276,0.00272272,0.00284972,0.16284149,0.19202276,0.00272272,0.00284972,0.17077044,0.20540668,0.0026,0.0059
[H]C([H])([H])C#CC([H])([H])C([H])([H])C#CC([H])([H])[H],0.26997945,0.28093263,0.00005769,0.00000012,0.24103155,0.24340041,0,0.00000573,0.24103155,0.24340041,0,0.00000573,0.23974892,0.24135119,0,0
[H]C#CC12N([H])C1([H])C([H])([H])C2([H])O[H],0.2311401,0.24300504,0.00331011,0.11072981,0.21482177,0.22697494,0.00155036,0.06152105,0.21482177,0.22697494,0.00155036,0.06152105,0.21452786,0.22706306,0.0017,0.0514
[H]OC1([H])C([H])([H])C1(C#N)C#N,0.26323239,0.27690973,0.00546413,0.05027726,0.23340395,0.25947891,0.00312304,0.10706379,0.23340395,0.25947891,0.00312304,0.10706379,0.23846637,0.26269888,0.0025,0.0852
[H]OC12C([H])([H])C(=O)OC1([H])C2([H])[H],0.21821329,0.26066986,0.00041971,0.08767715,0.21188184,0.25505462,0.00051654,0.04253006,0.21188184,0.25505462,0.00051654,0.04253006,0.21276022,0.26290835,0.0002,0.0586
[H]C1=C(N([H])C([H])([H])[H])C([H])([H])C([H])([H])C1=O,0.16224818,0.20394789,0.00016243,0.52981722,0.15683188,0.20733392,0.00011728,0.41481351,0.15683188,0.20733392,0.00011728,0.41481351,0.16449366,0.20665248,0.0002,0.4627
[H]C1([H])N(C2([H])C([H])([H])C3([H])C([H])([H])C23[H])C1([H])[H],0.26188979,0.27532563,0.07872963,0.00394611,0.27309081,0.28942041,0.05267872,0.02722765,0.27309081,0.28942041,0.05267872,0.02722765,0.2712431,0.28184528,0.0604,0.0079
[H]OC([H])([H])C1([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.26480656,0.26989289,0.00244346,0.01219534,0.27622081,0.2813332,0.00178692,0.00374736,0.27622081,0.2813332,0.00178692,0.00374736,0.26264743,0.28538056,0.0004,0.0035
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C(F)(F)F,0.36894782,0.37169913,0.00270167,0.00523324,0.36389272,0.36732482,0.00337464,0.00337312,0.36389272,0.36732482,0.00337464,0.00337312,0.35405403,0.35836472,0.0023,0.0045
[H]N([H])C(=O)C([H])([H])C([H])([H])C(=O)N([H])[H],0.2176493,0.21848767,0.00010651,0.00014977,0.21499295,0.21626171,0.00068038,0.00029841,0.21499295,0.21626171,0.00068038,0.00029841,0.21443599,0.21515995,0.0002,0.0002
[H]Oc1c(N([H])[H])nc(C([H])([H])[H])n1[H],0.20907382,0.22615002,0.000253,0.0000756,0.22281388,0.223164,0.00016844,0.2380564,0.22281388,0.223164,0.00016844,0.2380564,0.20373091,0.22059885,0.0003,0.0002
[H]OC1(C([H])([H])[H])C([H])([H])C1(C#N)C([H])([H])[H],0.27235267,0.29134807,0.01238967,0.05419275,0.26671552,0.27708016,0.00081356,0.00863503,0.26671552,0.27708016,0.00081356,0.00863503,0.26639586,0.27090868,0.0016,0.0029
[H]c1c(C#N)c([H])n(C([H])([H])[H])c1[H],0.22239833,0.23082176,0.01310234,0.15989839,0.21850177,0.22689061,0.04763688,0.13941273,0.21850177,0.22689061,0.04763688,0.13941273,0.21692392,0.22646772,0.1077,0.0537
[H]C(=O)c1c([H])c(C([H])([H])[H])c([H])n1[H],0.17742939,0.2054231,0.28515457,0.19324355,0.14741513,0.17966217,0.00020951,0.23709151,0.14741513,0.17966217,0.00020951,0.23709151,0.15231493,0.17887367,0.0003,0.3174
[H]c1nc(C2([H])C([H])([H])C2([H])[H])c([H])o1,0.23401278,0.24586066,0.08026479,0.0036063,0.23052336,0.23784732,0.06707625,0.00724207,0.23052336,0.23784732,0.06707625,0.00724207,0.22709981,0.242156,0.0895,0.0039
[H]OC12C([H])([H])C([H])(C#N)C1([H])C2([H])[H],0.25604329,0.28315397,0.01002938,0.00649956,0.25629056,0.26096173,0.01442584,0.0021766,0.25629056,0.26096173,0.01442584,0.0021766,0.25407749,0.27204791,0.008,0.0004
[H]C1=C([H])C([H])([H])n2nc([H])nc21,0.19362969,0.22584779,0.11920475,0.09800005,0.18578005,0.19793588,0.11574093,0.00232957,0.18578005,0.19793588,0.11574093,0.00232957,0.18862694,0.22061355,0.1171,0.0025
[H]c1nnn2c1N([H])C([H])([H])C2([H])[H],0.21548484,0.2211435,0.07975435,0.01616051,0.21271981,0.21769073,0.01630401,0.0867337,0.21271981,0.21769073,0.01630401,0.0867337,0.21547599,0.21737593,0.0387,0.0246
[H]c1nc2n(c1[H])C([H])([H])C2([H])[H],0.24687199,0.25308437,0.05137999,0.01326922,0.24787862,0.25199083,0.11283323,0.001641,0.24787862,0.25199083,0.11283323,0.001641,0.24286894,0.24938092,0.1227,0.0135
[H]C#CC1([H])C([H])([H])C1([H])C([H])([H])O[H],0.25199105,0.26999286,0.00088631,0.03786736,0.23253342,0.24907649,0.000787,0.02331704,0.23253342,0.24907649,0.000787,0.02331704,0.22679479,0.24238385,0.0005,0.0196
[H]c1oc([H])c(C([H])([H])C([H])([H])[H])c1[H],0.2407025,0.25042237,0.09091503,0.05902613,0.2383244,0.25268206,0.12410694,0.00758086,0.2383244,0.25268206,0.12410694,0.00758086,0.22885275,0.25234292,0.1307,0.0033
[H]C#CC1([H])OC1([H])C([H])([H])C([H])([H])C([H])([H])[H],0.25203933,0.26356264,0.02119182,0.02498389,0.23148049,0.24654216,0.01176503,0.00225324,0.23148049,0.24654216,0.01176503,0.00225324,0.22636482,0.24091755,0.0087,0.0007
[H]C(=O)N1C([H])=C([H])C([H])([H])C1([H])C([H])([H])[H],0.20079723,0.20335646,0.00096209,0.42236132,0.19466346,0.20647981,0.00104566,0.36641277,0.19466346,0.20647981,0.00104566,0.36641277,0.19774077,0.20325684,0.0011,0.3691
[H]OC1([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.25782602,0.29629618,0.00371404,0.0117389,0.27301232,0.29505929,0.0023598,0.00684681,0.27301232,0.29505929,0.0023598,0.00684681,0.25789942,0.29690515,0.0024,0.01
[H]OC1(C([H])([H])[H])C([H])(C#N)C1([H])C([H])([H])[H],0.26552282,0.27456007,0.00578935,0.00424144,0.2485515,0.26685853,0.00104518,0.08158699,0.2485515,0.26685853,0.00104518,0.08158699,0.25106037,0.26508391,0.0012,0.0196
[H]C#CC([H])([H])C#CC([H])([H])[H],0.26900812,0.27405047,0.00061747,0.00000007,0.2403301,0.24991809,0.00158584,0.00051432,0.2403301,0.24991809,0.00158584,0.00051432,0.23930793,0.24459248,0.0006,0
[H]OC1([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])O[H],0.25068083,0.27990917,0.00674437,0.00808382,0.25846338,0.28737728,0.00787412,0.00249414,0.25846338,0.28737728,0.00787412,0.00249414,0.2507921,0.27999311,0.0061,0.0052
[H]OC([H])([H])C1(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H],0.1687654,0.26865906,0.00002984,0.03617369,0.16567139,0.24184567,0.00002457,0.01402337,0.16567139,0.24184567,0.00002457,0.01402337,0.16694484,0.26341181,0,0.1128
[H]N=C1OC([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])[H],0.25263853,0.27316277,0.00874476,0.11349186,0.24478792,0.27991417,0.00946643,0.07960952,0.24478792,0.27991417,0.00946643,0.07960952,0.24556634,0.27744638,0.0069,0.1174
[H]C([H])([H])C1([H])OC([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],0.26436365,0.28630463,0.02677506,0.00634785,0.27709187,0.29488529,0.02973914,0.02300699,0.27709187,0.29488529,0.02973914,0.02300699,0.27437414,0.29645681,0.0262,0.0073
[H]C1=C([H])C2([H])C([H])([H])OC1([H])C([H])([H])C2([H])[H],0.21769032,0.25631424,0.00504674,0.00866729,0.21096031,0.25841714,0.00408646,0.0114353,0.21096031,0.25841714,0.00408646,0.0114353,0.22617372,0.25558788,0.0038,0.1611
[H]C(=O)C1([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.15403703,0.21845483,0.00054928,0.00843888,0.14954902,0.20164141,0.00035247,0.00615583,0.14954902,0.20164141,0.00035247,0.00615583,0.15075308,0.23013898,0.0002,0.0091
[H]Oc1c(C([H])([H])[H])nc([H])n1C([H])([H])[H],0.20163427,0.22298813,0.00000727,0.12767236,0.20252855,0.22751001,0.00001148,0.12611237,0.20252855,0.22751001,0.00001148,0.12611237,0.19297806,0.22196593,0,0.1382
[H]c1c(N([H])[H])nnn1C([H])([H])C([H])([H])[H],0.20325855,0.22582079,0.06946408,0.00655821,0.20165424,0.21457595,0.07200131,0.01126229,0.20165424,0.21457595,0.07200131,0.01126229,0.20371621,0.21929792,0.0854,0.0095
[H]c1nc(N([H])[H])c(F)c([H])c1[H],0.17438892,0.2020486,0.0914595,0.00322959,0.17967382,0.19625374,0.07989087,0.00342417,0.17967382,0.19625374,0.07989087,0.00342417,0.18002025,0.20372356,0.0972,0.0032
[H]OC1(C([H])([H])[H])C([H])(OC([H])([H])[H])C1([H])C([H])([H])[H],0.25461862,0.26320239,0.00963977,0.01128506,0.26433866,0.27314313,0.00971748,0.00449416,0.26433866,0.27314313,0.00971748,0.00449416,0.25655807,0.26535218,0.0034,0.0141
[H]C12OC1([H])C1(C2=O)C([H])([H])C1([H])[H],0.16039929,0.22537748,0.00001991,0.00143928,0.15438107,0.21370853,0.00013716,0.0032237,0.15438107,0.21370853,0.00013716,0.0032237,0.15709602,0.22559308,0.0002,0.006
[H]c1c(N([H])[H])c(C([H])([H])[H])n([H])c1C([H])([H])[H],0.20004796,0.21037957,0.00965953,0.01893522,0.20931292,0.21313139,0.11580543,0.04680725,0.20931292,0.21313139,0.11580543,0.04680725,0.19643617,0.20619311,0.0131,0.026
[H]N=C1OC2([H])C([H])([H])C12C([H])=O,0.15887558,0.2292946,0.00025445,0.08972648,0.15449233,0.21378969,0.00023339,0.01238887,0.15449233,0.21378969,0.00023339,0.01238887,0.15574364,0.2328033,0.0002,0.051
[H]OC1([H])C2([H])N3C([H])([H])C2([H])C31[H],0.24303133,0.26157326,0.00572189,0.00291774,0.25895678,0.27701325,0.00453253,0.00070901,0.25895678,0.27701325,0.00453253,0.00070901,0.25289416,0.26179117,0.0068,0.0019
[H]OC1(C#N)C([H])([H])N([H])C1([H])C([H])([H])[H],0.23758125,0.25187259,0.00311621,0.00351474,0.22753006,0.23593649,0.00140564,0.00109915,0.22753006,0.23593649,0.00140564,0.00109915,0.23870524,0.25081782,0.0015,0.0011
[H]C(=O)C(=O)C1([H])N([H])C1([H])C([H])([H])[H],0.10594702,0.1692222,0.00069222,0.0005419,0.09479776,0.14927886,0.00087643,0.01960195,0.09479776,0.14927886,0.00087643,0.01960195,0.10180666,0.16362637,0.0006,0.0008
[H]OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],0.22924455,0.2563286,0.00035487,0.02919184,0.22696068,0.24649959,0.00068115,0.06187509,0.22696068,0.24649959,0.00068115,0.06187509,0.22737543,0.25914154,0.0004,0.2238
[H]OC([H])([H])C1([H])OC1([H])C([H])([H])C([H])([H])C([H])([H])[H],0.27965311,0.29430642,0.0020783,0.05683128,0.2902356,0.30365092,0.00085511,0.0228369,0.2902356,0.30365092,0.00085511,0.0228369,0.27866278,0.29965767,0.0032,0.0238
[H]N1C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C#N,0.25933585,0.29295467,0.02269759,0.00943748,0.26353953,0.28047849,0.02447092,0.00201352,0.26353953,0.28047849,0.02447092,0.00201352,0.25954211,0.28188203,0.0204,0.0001
[H]C#CC1(C([H])=O)OC1([H])C([H])([H])[H],0.15589825,0.21882477,0.00080127,0.01276606,0.15012958,0.20250863,0.00115857,0.00986562,0.15012958,0.20250863,0.00115857,0.00986562,0.15142927,0.21852251,0.0007,0.0236
[H]c1nc(F)nc(=O)o1,0.17632858,0.19846337,0.00312918,0.06981117,0.16703588,0.19307106,0.0025136,0.00031818,0.16703588,0.19307106,0.0025136,0.00031818,0.1754964,0.2027203,0.0024,0.0693
[H]C#CC1(O[H])C([H])([H])C([H])([H])C1([H])O[H],0.24569873,0.26785692,0.0004441,0.01429948,0.22664553,0.24606568,0.00044415,0.01553331,0.22664553,0.24606568,0.00044415,0.01553331,0.22612595,0.24268519,0,0.0073
[H]c1nc([H])c(OC([H])([H])[H])c([H])c1[H],0.17981784,0.22696036,0.06369922,0.16978373,0.17758435,0.19001965,0.00347114,0.06767837,0.17758435,0.19001965,0.00347114,0.06767837,0.18508798,0.18810877,0.0035,0.0782
[H]OC([H])(C([H])([H])[H])C12OC1([H])C([H])([H])C2([H])[H],0.26683072,0.28001922,0.00139191,0.02554369,0.27826144,0.28886409,0.00034342,0.01377408,0.27826144,0.28886409,0.00034342,0.01377408,0.27297031,0.28578113,0.0048,0.0127
[H]OC1([H])C([H])([H])N(C([H])=O)C1([H])C([H])([H])[H],0.20763623,0.23920367,0.0019338,0.19957187,0.20315347,0.24716249,0.00199774,0.12425764,0.20315347,0.24716249,0.00199774,0.12425764,0.20373091,0.24508125,0.0017,0.16
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])OC21[H],0.28069543,0.2867201,0.00664449,0.01794551,0.29280814,0.30166025,0.00870597,0.00524402,0.29280814,0.30166025,0.00870597,0.00524402,0.29100688,0.29910643,0.0113,0.0028
[H]OC([H])([H])C1(O[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.24619251,0.26985143,0.00472931,0.01134218,0.24972872,0.27912884,0.00391732,0.00601053,0.24972872,0.27912884,0.00391732,0.00601053,0.24622048,0.27063306,0.0038,0.0092
[H]C(=O)OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0.21785204,0.28626501,0.00094864,0.20606465,0.21234644,0.29240127,0.00119184,0.1223679,0.21234644,0.29240127,0.00119184,0.1223679,0.21031271,0.2900514,0.001,0.1619
[H]c1onc(C#CC([H])([H])[H])c1[H],0.22304114,0.24130338,0.1901195,0.06507543,0.19824312,0.20914167,0.0000466,0.20194442,0.19824312,0.20914167,0.0000466,0.20194442,0.20343692,0.21144827,0.0001,0.2044
[H]c1oc([H])c(C(=O)C([H])([H])[H])c1[H],0.15543788,0.20694819,0.00018116,0.06711904,0.1479634,0.19140509,0.0001302,0.04924998,0.1479634,0.19140509,0.0001302,0.04924998,0.15372243,0.19961499,0.0002,0.0802
[H]c1nc(F)nc(N([H])[H])n1,0.19692187,0.19778655,0.00327068,0.04826617,0.19097423,0.19263478,0.00469369,0.00167659,0.19097423,0.19263478,0.00469369,0.00167659,0.19865215,0.20054107,0,0.0056
[H]N([H])C([H])(C#N)C([H])([H])C([H])([H])OC([H])([H])[H],0.25917042,0.27426333,0.03007863,0.03675941,0.25481728,0.26881746,0.02144075,0.00526029,0.25481728,0.26881746,0.02144075,0.00526029,0.25438251,0.27697967,0.0263,0.0016
[H]C([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])OC12[H],0.25912686,0.28016124,0.01765039,0.00962841,0.26857477,0.28898505,0.01716626,0.00728863,0.26857477,0.28898505,0.01716626,0.00728863,0.26950118,0.2898162,0.0169,0.0075
[H]N=c1c([H])c(O[H])c([H])nn1[H],0.14631223,0.18035068,0.0256241,0.00079475,0.13995824,0.16953898,0.02564233,0.00035981,0.13995824,0.16953898,0.02564233,0.00035981,0.14757794,0.18948687,0.0334,0.0017
[H]c1nc([H])c([H])nc1[H],0.1912193,0.25687755,0.07893291,0.10837408,0.14682754,0.17110961,0.00541214,0,0.14682754,0.17110961,0.00541214,0,0.15334758,0.18305206,0.0051,0
[H]OC1([H])C([H])([H])C([H])=C([H])C1(C([H])([H])[H])C([H])([H])[H],0.26185378,0.26909674,0.00412832,0.03076384,0.24229692,0.26096931,0.0038482,0.23088549,0.24229692,0.26096931,0.0038482,0.23088549,0.25554011,0.26301492,0.2384,0.0026
[H]C([H])([H])C(=O)C([H])(C#N)C([H])([H])C([H])([H])[H],0.17039726,0.26249176,0.0001962,0.01112941,0.16615527,0.25867986,0.00016366,0.00154326,0.16615527,0.25867986,0.00016366,0.00154326,0.1663936,0.26484871,0.0001,0.0022
[H]C([H])([H])C([H])([H])OC(=O)C1([H])C([H])([H])C1([H])[H],0.22502496,0.29428411,0.00045198,0.12837129,0.22003402,0.28984825,0.00063175,0.37350851,0.22003402,0.28984825,0.00063175,0.37350851,0.22128606,0.29372266,0.0005,0.3425
[H]c1c(N([H])C([H])([H])[H])oc(=O)n1[H],0.20392949,0.21639219,0.02090796,0.00365762,0.21173464,0.22483266,0.05586744,0.09768959,0.21173464,0.22483266,0.05586744,0.09768959,0.19970686,0.21168346,0.022,0.0016
[H]OC1([H])C([H])(O[H])C1(C#N)O[H],0.23762586,0.25220623,0.00638599,0.00647645,0.2268353,0.2480145,0.00200758,0.00184419,0.2268353,0.2480145,0.00200758,0.00184419,0.22742688,0.25129189,0.002,0.0033
[H]OC1([H])C([H])([H])C2([H])OC3([H])C1([H])C23[H],0.24945217,0.26357449,0.00215559,0.00537472,0.26459933,0.28152998,0.00034465,0.01336378,0.26459933,0.28152998,0.00034465,0.01336378,0.25781122,0.27879141,0.0015,0.01
[H]OC([H])([H])c1oc(N([H])[H])nc1[H],0.22614612,0.22934415,0.32506866,0.01315473,0.21923248,0.23951836,0.29413997,0.01674937,0.21923248,0.23951836,0.29413997,0.01674937,0.21722894,0.22413414,0.2895,0.0116
[H]OC1([H])C([H])([H])C2(O[H])C([H])(C([H])([H])[H])C12[H],0.25478894,0.26111761,0.00315316,0.00662279,0.266125,0.27828,0.00308261,0.00355471,0.266125,0.27828,0.00308261,0.00355471,0.25520569,0.26083569,0.0029,0.0042
[H]C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])C#N,0.28481424,0.30284315,0.00204022,0.06415887,0.26215926,0.28030745,0.00091853,0.03754457,0.26215926,0.28030745,0.00091853,0.03754457,0.25963766,0.27748681,0.0008,0.0389
[H]C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C12C([H])([H])[H],0.266341,0.27672192,0.0085261,0.0118052,0.27683492,0.29141713,0.00750181,0.01634297,0.27683492,0.29141713,0.00750181,0.01634297,0.26793566,0.28029445,0.0062,0.0106
[H]OC([H])([H])C1([H])OC([H])(C([H])([H])[H])C1([H])C([H])([H])[H],0.26371006,0.26632317,0.00128364,0.00422267,0.27210431,0.27718463,0.0009797,0.00184319,0.27210431,0.27718463,0.0009797,0.00184319,0.26955263,0.27869953,0.0002,0.0041
[H]C1([H])OC([H])(C2([H])OC2([H])[H])OC1([H])[H],0.27926406,0.28907996,0.01089515,0.00212642,0.29164354,0.29692286,0.02116367,0.00078157,0.29164354,0.29692286,0.02116367,0.00078157,0.28757082,0.29435107,0.0139,0.0036
[H]C([H])([H])C12OC1([H])C([H])([H])C([H])([H])C2=O,0.15670322,0.23373245,0.0001289,0.00603264,0.15125586,0.2229025,0.00008854,0.0014725,0.15125586,0.2229025,0.00008854,0.0014725,0.1538878,0.23902864,0.0001,0.0023
[H]OC([H])([H])C1([H])C([H])([H])C1(C([H])=O)C([H])([H])[H],0.16914374,0.26516057,0.0000957,0.18356375,0.16440043,0.24180411,0.00003982,0.01087286,0.16440043,0.24180411,0.00003982,0.01087286,0.16446426,0.25809786,0.0001,0.206
[H]C#CC([H])(C([H])([H])C#N)C([H])([H])O[H],0.26875756,0.27983522,0.0001384,0.0036491,0.24605133,0.2575719,0.00024889,0.00366575,0.24605133,0.2575719,0.00024889,0.00366575,0.24078525,0.25125514,0.0001,0.0021
[H]C(=O)N([H])c1c([H])nn([H])c1[H],0.21045756,0.21893315,0.00121952,0.15081278,0.20411323,0.21875212,0.00124368,0.32066178,0.20411323,0.21875212,0.00124368,0.32066178,0.20477827,0.21821749,0.0013,0.2929
[H]C(=O)C1([H])C2([H])OC2([H])C1([H])C([H])([H])[H],0.15334685,0.24140962,0.00012062,0.03975801,0.14751167,0.22153959,0.00013445,0.02334654,0.14751167,0.22153959,0.00013445,0.02334654,0.14924269,0.24331361,0.0001,0.0321
[H]C1=C([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C1([H])C2([H])[H],0.24974695,0.26924792,0.17083174,0.00275585,0.24419211,0.26081563,0.17616836,0.00395585,0.24419211,0.26081563,0.17616836,0.00395585,0.23817605,0.26510596,0.1756,0.0024
[H]N([H])c1nc(C([H])([H])[H])n([H])n1,0.22363178,0.23842865,0.06829524,0.00517963,0.22063732,0.23936804,0.06614747,0.00549777,0.22063732,0.23936804,0.06614747,0.00549777,0.22898505,0.23507808,0.0827,0.0024
[H]ON=C1C([H])([H])C([H])([H])C1([H])C#N,0.22369504,0.24424283,0.00414824,0.21658252,0.21419131,0.24301128,0.00382345,0.18253918,0.21419131,0.24301128,0.00382345,0.18253918,0.21988959,0.24690769,0.0035,0.2118
[H]N1C(=O)N2C([H])([H])C3([H])C1([H])C23[H],0.21642138,0.22697849,0.01229424,0.00604284,0.21454414,0.22448148,0.00510027,0.00240537,0.21454414,0.22448148,0.00510027,0.00240537,0.21604928,0.22719903,0.005,0.0049
[H]Oc1nnc([H])c(N([H])[H])n1,0.13782838,0.17182512,0.00501361,0.13065939,0.12908976,0.17852777,0.00444689,0.00051027,0.12908976,0.17852777,0.00444689,0.00051027,0.13789082,0.18142039,0.0045,0.1388
[H]C#Cc1c([H])c(N([H])[H])n([H])c1[H],0.21245886,0.21386462,0.06453634,0.02738741,0.20191915,0.21365009,0.0992214,0.00196042,0.20191915,0.21365009,0.0992214,0.00196042,0.20210659,0.20684725,0.1333,0.0037
[H]C(=O)N1C([H])=C([H])C([H])(C([H])([H])[H])C1([H])[H],0.19993532,0.20064643,0.00303417,0.45641271,0.1940681,0.20408741,0.00109581,0.40431926,0.1940681,0.20408741,0.00109581,0.40431926,0.19687349,0.20061089,0.0016,0.4036
[H]C([H])([H])OC1([H])OC(C([H])([H])[H])=NC1([H])[H],0.251471,0.27284466,0.00705534,0.15632326,0.24159372,0.2711277,0.00672412,0.1664818,0.24159372,0.2711277,0.00672412,0.1664818,0.24495998,0.26975475,0.0051,0.1725
[H]N(C1=NC([H])([H])C([H])([H])C1=O)C([H])([H])[H],0.13866873,0.17690936,0.00065558,0.09129316,0.13336328,0.16121511,0.00042982,0.05994714,0.13336328,0.16121511,0.00042982,0.05994714,0.13862213,0.17378388,0.0005,0.0815
[H]C#CC1([H])C([H])([H])C1(C#N)N([H])[H],0.25348152,0.26432633,0.00351455,0.00914768,0.22783101,0.24022175,0.00513078,0.03684188,0.22783101,0.24022175,0.00513078,0.03684188,0.22837501,0.23885224,0.0042,0.0104
[H]C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C12[H],0.27474299,0.27700131,0.00086068,0.0046207,0.27939512,0.28225964,0.00106109,0.00389916,0.27939512,0.28225964,0.00106109,0.00389916,0.27277187,0.27559054,0.001,0.0033
[H]C(=O)C([H])([H])C1([H])C([H])([H])C(=O)C1([H])[H],0.16058927,0.1630996,0.00017668,0.00003347,0.15519318,0.15832536,0.00017099,0.00004739,0.15519318,0.15832536,0.00017099,0.00004739,0.15541657,0.15880853,0.0001,0
[H]OC12C([H])([H])C1([H])N1C([H])([H])C12C([H])([H])[H],0.2346525,0.25369792,0.01132468,0.01484083,0.2486779,0.25950176,0.00305153,0.02458733,0.2486779,0.25950176,0.00305153,0.02458733,0.24071911,0.25507339,0.0074,0.0116
[H]OC1([H])C([H])([H])N([H])C1(C([H])=O)C([H])([H])[H],0.15617989,0.20959025,0.00482895,0.05331726,0.14879733,0.190907,0.00589211,0.03282665,0.14879733,0.190907,0.00589211,0.03282665,0.15181881,0.20634746,0.0025,0.0355
